soc_Rob0,soc_Rob1,soc_Rob2,soc_Rob3
40.72987299,40.72987299,40.72987299,40.72987299
43.72987299,43.72987299,43.72987299,43.72987299
46.72987299,46.72987299,46.72987299,46.72987299
49.72987299,49.72987299,49.72987299,49.72987299
52.72987299,52.72987299,52.72987299,52.72987299
55.72987299,55.72987299,55.72987299,55.72987299
58.72987299,58.72987299,58.72987299,58.72987299
61.72987299,61.72987299,61.72987299,61.72987299
64.72987299,64.72987299,64.72987299,64.72987299
67.72987299,67.72987299,67.72987299,67.72987299
70.72987299,70.72987299,70.72987299,70.72987299
73.72987299,73.72987299,73.72987299,73.72987299
76.72987299,76.72987299,76.72987299,76.72987299
79.72987299,79.72987299,79.72987299,79.72987299
82.72987299,82.72987299,82.72987299,82.72987299
85.72987299,85.72987299,85.72987299,85.72987299
88.72987299,88.72987299,88.72987299,88.72987299
89,89,89,89
88.29836571,88.29836571,88.29836571,88.29836571
87.59673143,87.59673143,87.59673143,87.59673143
86.89509714,86.89509714,86.89509714,86.89509714
86.19346285,86.19346285,86.19346285,86.19346285
85.49182857,85.49182857,85.49182857,85.49182857
84.79019428,84.79019428,84.79019428,84.79019428
84.08855999,84.08855999,84.08855999,84.08855999
83.38692571,83.38692571,83.38692571,83.38692571
82.68529142,82.68529142,82.68529142,82.68529142
81.98365713,81.98365713,81.98365713,81.98365713
81.28202285,81.28202285,81.28202285,81.28202285
80.58038856,80.58038856,80.58038856,80.58038856
79.94349576,79.94349576,79.94349576,79.94349576
79.30660296,79.30660296,79.30660296,79.30660296
78.66971016,78.66971016,78.66971016,78.66971016
78.03281736,78.03281736,78.03281736,78.03281736
77.39592456,77.39592456,77.39592456,77.39592456
76.75903176,76.75903176,76.75903176,76.75903176
76.12213896,76.12213896,76.12213896,76.12213896
75.48524616,75.48524616,75.48524616,75.48524616
74.84835336,74.84835336,74.84835336,74.84835336
74.21146056,74.21146056,74.21146056,74.21146056
73.57456776,73.57456776,73.57456776,73.57456776
72.93767496,72.93767496,72.93767496,72.93767496
72.30078216,72.30078216,72.30078216,72.30078216
71.66388936,71.66388936,71.66388936,71.66388936
71.02699656,71.02699656,71.02699656,71.02699656
70.39010376,70.39010376,70.39010376,70.39010376
69.75321096,69.75321096,69.75321096,69.75321096
69.11631816,69.11631816,69.11631816,69.11631816
68.47942536,68.47942536,68.47942536,68.47942536
67.84253256,67.84253256,67.84253256,67.84253256
67.20563976,67.20563976,67.20563976,67.20563976
66.56874696,66.56874696,66.56874696,66.56874696
65.93185416,65.93185416,65.93185416,65.93185416
65.29496136,65.29496136,65.29496136,65.29496136
64.65806856,64.65806856,64.65806856,64.65806856
64.02117576,64.02117576,64.02117576,64.02117576
63.38428296,63.38428296,63.38428296,63.38428296
62.74739016,62.74739016,62.74739016,62.74739016
62.11049736,62.11049736,62.11049736,62.11049736
61.47360456,61.47360456,61.47360456,61.47360456
60.83671176,60.83671176,60.83671176,60.83671176
60.19981896,60.19981896,60.19981896,60.19981896
